"year","month","fleet","sex","partition","ageErr","agelow","agehigh","Nsamp","U0","U1","U2","U3","U4","U5","U6","U7","U8","U9","U10","U11","U12","U13","U14","U15","U16","U17","U18","U19","U20","U0.1","U1.1","U2.1","U3.1","U4.1","U5.1","U6.1","U7.1","U8.1","U9.1","U10.1","U11.1","U12.1","U13.1","U14.1","U15.1","U16.1","U17.1","U18.1","U19.1","U20.1"
2003,"Month","Fleet",0,0,"Enter","Enter","Enter",166,93.2203389830509,3.38983050847458,3.38983050847458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.2203389830509,3.38983050847458,3.38983050847458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",0,0,"Enter","Enter","Enter",159,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,"Month","Fleet",0,0,"Enter","Enter","Enter",164,42.3076923076923,53.8461538461538,3.84615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.3076923076923,53.8461538461538,3.84615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,"Month","Fleet",0,0,"Enter","Enter","Enter",107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"Month","Fleet",0,0,"Enter","Enter","Enter",85,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Month","Fleet",0,0,"Enter","Enter","Enter",166,98.5221674876847,1.47783251231527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.5221674876847,1.47783251231527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Month","Fleet",0,0,"Enter","Enter","Enter",168,95.5882352941177,4.41176470588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.5882352941177,4.41176470588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"Month","Fleet",0,0,"Enter","Enter","Enter",188,95.1086956521739,4.89130434782609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.1086956521739,4.89130434782609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Month","Fleet",0,0,"Enter","Enter","Enter",192,67.7966101694915,32.2033898305085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.7966101694915,32.2033898305085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Month","Fleet",0,0,"Enter","Enter","Enter",185,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Month","Fleet",0,0,"Enter","Enter","Enter",114,90.4761904761905,0,0,0,0,9.52380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4761904761905,0,0,0,0,9.52380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Month","Fleet",0,0,"Enter","Enter","Enter",230,89.4736842105263,10.5263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.4736842105263,10.5263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Month","Fleet",0,0,"Enter","Enter","Enter",195,75.7575757575758,18.1818181818182,3.03030303030303,3.03030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.7575757575758,18.1818181818182,3.03030303030303,3.03030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Month","Fleet",0,0,"Enter","Enter","Enter",162,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Month","Fleet",0,0,"Enter","Enter","Enter",195,89.7959183673469,10.2040816326531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.7959183673469,10.2040816326531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Month","Fleet",0,0,"Enter","Enter","Enter",221,88.8888888888889,11.1111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.8888888888889,11.1111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Month","Fleet",0,0,"Enter","Enter","Enter",97,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
