"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 3+ Biomass (mt)","Spawning Biomass (mt)","Fraction Unfished"
2021,5084.77,1576.72,22609.4,11010.2,0.641626
2022,4978.47,1576.72,20898.2,10880.1,0.634045
2023,4868.34,4589.1,21155.5,10343.9,0.602797
2024,4300.68,4033.17,19224.5,8950.16,0.521578
2025,4077.38,3808.25,18379.8,8330.51,0.485467
2026,3996.36,3717.92,18013.3,8046.54,0.468919
2027,3962.2,3668.31,17795.4,7901.69,0.460477
2028,3938.15,3631.92,17635.3,7804.22,0.454797
2029,3916.38,3597.76,17510.5,7730.2,0.450483
2030,3898.77,3563.98,17420.7,7677.14,0.447391
2031,3887.47,3539.58,17365.1,7644.73,0.445503
2032,3881.13,3519.75,17333.3,7626.86,0.444461
