"Quantity","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","213.19439","273.56","428.6714","503.064","711.6984","675.6463","546.1819","449.4559","389.2261","286.499","NA"
"Total Dead","215.17402","276.8546","431.7854","506.7338","717.4551","679.5252","549.8348","454.4045","396.6101","291.9117","NA"
"(1-SPR)/(1-SPR_45%)","0.4567","0.462265","0.551635","0.553663","0.691111","0.630322","0.515352","0.455524","0.435352","0.350211",NA
"Exploitation Rate","0.029612","0.0347012","0.0463009","0.0497262","0.0652237","0.0562335","0.0439715","0.035697","0.0307827","0.0222027",NA
"Age 3+ Biomass (mt)","7266.44","7978.24","9325.63","10190.5","10999.9","12084","12504.4","12729.5","12884.2","13147.6","32235.2"
"Spawning Biomass (mt)","5361.93","5846.8","6515.77","7246.89","7951.35","8554.26","9159.13","9638.51","9967.93","10207.7","10415"
"Lower Interval","1468.09","1807.3","2241.62","2648.05","2970.65","3142.88","3285.9","3336.87","3296.17","3215.5","3145"
"Upper Interval","9255.77","9886.3","10789.92","11845.73","12932.05","13965.64","15032.36","15940.15","16639.69","17199.9","17685"
"Recruits","1508.94","1657.47","2621.75","1134.37","942.518","1027.59","1369.55","754.791","820.16","1602.86","1630.13"
"Lower Interval","772.47","850.27","1340.88","560.4","460.477","498.18","657.29","333.741","307.73","473.63","484.07"
"Upper Interval","2947.57","3231","5126.16","2296.22","1929.172","2119.59","2853.64","1707.038","2185.9","5424.39","5489.56"
"Fraction Unfished","0.202769","0.221105","0.246403","0.274051","0.300691","0.323491","0.346365","0.364494","0.376951","0.386017","0.393857"
"Lower Interval","0.052893","0.054878","0.057438","0.059519","0.061587","0.061759","0.063138","0.066501","0.070954","0.07579","0.081805"
"Upper Interval","0.352645","0.387332","0.435368","0.488583","0.539795","0.585223","0.629592","0.662487","0.682948","0.696244","0.705909"
